"","X","CampaignURL","numSupporters","TeamOrAthlete","AmountAdjusted","Success","Wordcount","NarcissismFactor","joy","sadness","negative","positive","fear","trust","FundingGoalAdjusted","id","num_rows"
"1",989,"https://sportfunder.com/camrynbirley/29134",0,"athletes",0,"fail",58,5.947,1,0,0,3,0,3,500,707,32
"2",375,"https://sportfunder.com/westsidewanderersmarchingclub/27785",0,"athletes",0,"fail",63,8.417,2,1,1,7,1,6,5000,264,32
"3",133,"https://sportfunder.com/sharellemarching/27889",0,"athletes",0,"fail",45,5.816,2,0,1,2,0,4,3000,90,32
"4",1036,"https://sportfunder.com/larisa/27877",0,"athletes",0,"fail",136,11.059,7,1,4,14,3,9,2682.45,738,32
"5",332,"https://sportfunder.com/lenameidanifossen/29610",58,"athletes",841.99125,"fail",140,17.665,7,0,0,9,4,5,1987,234,32
"6",159,"https://sportfunder.com/alessandrafattore/28113",0,"athletes",0,"fail",130,11.048,10,1,1,14,1,15,2483.75,110,32
"7",920,"https://sportfunder.com/leobaeten/31119",0,"athletes",0,"fail",109,13.977,3,1,0,8,2,5,4967.5,654,32
"8",835,"https://sportfunder.com/matiascandia/40123",5,"athletes",55,"fail",248,9.497,2,2,2,2,2,7,1500,592,32
"9",314,"https://sportfunder.com/futsalgorovo/31004",0,"athletes",0,"fail",194,14.377,4,0,3,13,1,12,9935,219,32
"10",62,"https://sportfunder.com/uofamininggames/30996",48,"athletes",2600,"fail",115,5.114,2,1,2,3,0,5,3000,40,32
"11",235,"https://sportfunder.com/barbora/31323",0,"athletes",0,"fail",65,2.394,2,0,2,3,1,1,1500,162,32
"12",63,"https://sportfunder.com/uofamininggames/40216",38,"athletes",2090,"fail",150,11.067,2,2,6,9,0,16,5000,41,32
"13",819,"https://sportfunder.com/sarahchappelow/30926",25,"athletes",975,"fail",277,23.415,8,3,4,23,0,16,3500,581,32
"14",693,"https://sportfunder.com/maartenvandekerckhove/30645",0,"athletes",0,"fail",51,4.415,3,0,1,4,1,3,1688.95,490,32
"15",378,"https://sportfunder.com/jackiewatene_/31059",0,"athletes",0,"fail",101,6.338,3,1,0,8,2,7,5000,266,32
"16",1051,"https://sportfunder.com/sofiiakovalchuk/29858",0,"athletes",0,"fail",51,4.415,3,0,0,4,0,3,993.5,747,32
"17",903,"https://sportfunder.com/tubatseringballclub/29905",0,"athletes",0,"fail",118,11.387,3,0,2,7,0,12,3000,644,32
"18",491,"https://sportfunder.com/halfwayhousedragons/31090",0,"athletes",0,"fail",123,8.959,4,0,5,7,5,13,50000,337,32
"19",504,"https://sportfunder.com/phakoamashape/28350",3,"athletes",28,"fail",183,13.054,4,2,4,12,0,8,15000,349,32
"20",960,"https://sportfunder.com/sebastianquintana/29896",0,"athletes",0,"fail",227,14.171,13,2,5,17,2,14,993.5,681,32
"21",296,"https://sportfunder.com/breakerband/40438",74,"athletes",1435,"fail",68,5.925,3,0,1,7,0,3,2000,205,32
"22",328,"https://sportfunder.com/lydiakanellopoulou/29855",12,"athletes",326.116375,"fail",109,7.292,3,0,2,4,1,4,326.8615,232,32
"23",543,"https://sportfunder.com/morganhill/29522",0,"athletes",0,"fail",109,9.138,5,0,1,7,0,16,1000,379,32
"24",1115,"https://sportfunder.com/shandreotto/29124",0,"athletes",0,"fail",98,20.442,9,0,0,20,2,17,4000,786,32
"25",367,"https://sportfunder.com/nebassinri/30903",6,"athletes",205,"fail",127,6.863,8,0,3,13,4,5,5000,257,32
"26",883,"https://sportfunder.com/suelgaming/31096",0,"athletes",0,"fail",68,9.04,3,0,4,8,0,5,10000,629,32
"27",953,"https://sportfunder.com/stevematias/21628",16,"teams",250,"fail",179,16.671,3,1,7,9,5,4,2500,676,716
"28",26,"https://sportfunder.com/robmcdougall/27770",20,"teams",1650,"fail",734,77.614,31,2,10,60,4,40,2240,19,716
"29",506,"https://sportfunder.com/acs/29555",8,"teams",1402.35,"fail",124,13.607,5,1,5,8,2,9,5100,351,716
"30",154,"https://sportfunder.com/bamasterssoccerassociationofvancouver/28051",0,"teams",0,"fail",51,10.517,5,0,1,8,0,5,9000,107,716
"31",787,"https://sportfunder.com/ashatowasportsacademy/30943",0,"teams",0,"fail",134,10.596,4,0,3,9,1,12,500,556,716
"32",436,"https://sportfunder.com/hiboux/22140",104,"teams",14060,"fail",117,12.416,4,3,9,7,1,8,14000,302,716
"33",617,"https://sportfunder.com/steelforceelitecom/27817",78,"teams",1581,"fail",199,26.359,13,1,1,19,1,16,13500,433,716
"34",858,"https://sportfunder.com/mountedgamesassociation/22649",0,"teams",0,"fail",173,8.357,4,0,1,17,0,19,1000,610,716
"35",547,"https://sportfunder.com/slovenialacrosse/25162",248,"teams",1342.2185,"fail",90,14.999,2,0,3,3,0,8,3477.25,383,716
"36",922,"https://sportfunder.com/ubcultimate/1433",20,"teams",815,"fail",183,15.098,1,0,2,3,0,12,3000,656,716
"37",43,"https://sportfunder.com/teamvicvolleyball/27491",2,"teams",100,"fail",132,10.596,5,0,3,10,1,17,5000,30,716
"38",1117,"https://sportfunder.com/caseneedham/30927",0,"teams",0,"fail",66,3.906,4,0,0,6,1,3,2000,788,716
"39",590,"https://sportfunder.com/jamesmwaura/30959",1,"teams",0,"fail",118,13.98,7,1,1,11,2,9,49000,410,716
"40",234,"https://sportfunder.com/trysportsph/27740",0,"teams",0,"fail",159,16.816,10,0,2,17,3,19,2000,161,716
"41",991,"https://sportfunder.com/amandagilfedder/29898",0,"teams",0,"fail",68,6.164,3,0,2,5,1,5,8000,709,716
"42",945,"https://sportfunder.com/sydneykoevoet/4866",17,"teams",656,"fail",128,3.348,6,1,2,6,1,9,1500,671,716
"43",523,"https://sportfunder.com/ray/27840",0,"teams",0,"fail",114,13.374,3,0,2,8,2,3,29805,365,716
"44",575,"https://sportfunder.com/syedlabeeq/28135",0,"teams",0,"fail",89,4.797,2,0,0,2,0,4,2000,402,716
"45",379,"https://sportfunder.com/testinganotherteamcreation/26127",30,"teams",0,"fail",136,10.596,5,0,3,10,1,17,2500,267,716
"46",287,"https://sportfunder.com/loloteam/27541",0,"teams",0,"fail",128,10.596,5,0,3,10,1,13,10000,198,716
"47",124,"https://sportfunder.com/connorshackelofrd/29916",0,"teams",0,"fail",68,6.255,3,0,1,4,0,3,1000,83,716
"48",682,"https://sportfunder.com/bradprescott/29140",0,"teams",0,"fail",119,8.779,5,2,3,9,2,5,793.38,481,716
"49",230,"https://sportfunder.com/koracooper/28074",0,"teams",0,"fail",95,6.841,6,0,2,8,1,7,6000,158,716
"50",233,"https://sportfunder.com/lmnphilippines/25734",2,"teams",0,"fail",156,24.024,9,0,1,15,0,16,15000,160,716
"51",107,"https://sportfunder.com/falconscc/27776",0,"teams",0,"fail",148,7.732,5,1,5,13,3,6,3000,74,716
"52",423,"https://sportfunder.com/bellerebelfreestyle/25921",96,"teams",2909,"fail",265,30.379,9,2,6,20,3,19,6000,297,716
"53",640,"https://sportfunder.com/woodstudgameproject/30992",0,"teams",0,"fail",162,9.827,4,2,8,13,3,6,2e+05,451,716
"54",619,"https://sportfunder.com/karah/31463",0,"teams",0,"fail",48,4.415,3,0,0,4,0,3,2000,434,716
"55",701,"https://sportfunder.com/teamswedenallgirl/23756",110,"teams",84.4475,"fail",50,2.374,3,0,0,3,0,4,9935,496,716
"56",278,"https://sportfunder.com/kcvavolleyball15red/29144",2,"teams",355,"fail",86,12.458,4,0,0,5,0,13,3000,190,716
"57",856,"https://sportfunder.com/kira/31822",10,"teams",165,"fail",74,5.313,4,1,1,6,0,5,2000,608,716
"58",385,"https://sportfunder.com/jamesibrahim/26737",19,"teams",0,"fail",355,33.42,2,3,7,14,2,7,25000,272,716
"59",216,"https://sportfunder.com/bucharestathleticsassociation/29537",0,"teams",0,"fail",127,7.863,9,1,1,12,1,13,894.15,150,716
"60",510,"https://sportfunder.com/kccare/26684",38,"teams",800,"fail",136,10.596,7,0,3,12,1,15,3000,354,716
"61",76,"https://sportfunder.com/amakirikelvin/30828",0,"teams",0,"fail",48,4.415,3,0,0,4,0,3,20000,51,716
"62",613,"https://sportfunder.com/leecrossland/28099",0,"teams",0,"fail",598,76.959,14,7,17,30,10,39,2980.5,429,716
"63",1065,"https://sportfunder.com/savaantic/5046",20,"teams",576,"fail",134,5.838,11,0,0,11,1,15,750,754,716
"64",228,"https://sportfunder.com/dnaracingteam/29530",0,"teams",0,"fail",129,11.105,4,0,3,8,1,15,20000,156,716
"65",894,"https://sportfunder.com/teammiles/2605",56,"teams",3005,"fail",264,30.906,11,0,4,16,1,25,6470,637,716
"66",45,"https://sportfunder.com/daveford/26608",38,"teams",0,"fail",135,4,3,0,1,11,1,12,3000,32,716
"67",650,"https://sportfunder.com/deidra/31251",2,"teams",25,"fail",60,2.146,4,1,4,6,0,6,1800,459,716
"68",1079,"https://sportfunder.com/andyshields/7866",3,"teams",150,"fail",147,11.373,4,0,3,9,1,9,750,764,716
"69",393,"https://sportfunder.com/alexanderhaserodt/29464",0,"teams",0,"fail",99,10.523,5,0,0,9,1,6,19870,278,716
"70",500,"https://sportfunder.com/nevelledurawo/28671",0,"teams",0,"fail",86,9.577,3,0,4,8,2,3,1000,345,716
"71",718,"https://sportfunder.com/alexandragagnon/4122",6,"teams",231,"fail",30,7.165,1,0,0,6,0,3,750,510,716
"72",949,"https://sportfunder.com/dashaadjohnson/31579",2,"teams",120,"fail",47,4.415,3,0,0,4,0,3,120,674,716
"73",1039,"https://sportfunder.com/mayathebee/40314",13,"teams",745,"fail",244,18.835,14,4,10,21,6,14,3000,741,716
"74",489,"https://sportfunder.com/romanipeoplefootballteam/24259",2,"teams",0,"fail",77,1.961,2,0,3,4,1,11,4967.5,335,716
"75",878,"https://sportfunder.com/canada4rio/24420",2,"teams",4670,"fail",74,5.287,2,1,4,3,2,4,2e+05,626,716
"76",527,"https://sportfunder.com/rene/23485",0,"teams",0,"fail",181,17.439,8,0,4,16,0,18,1200,366,716
"77",191,"https://sportfunder.com/sophie/27941",4,"teams",405,"fail",44,5.107,1,0,0,4,0,4,500,135,716
"78",651,"https://sportfunder.com/saucefambasketballclub/30997",0,"teams",0,"fail",156,11.516,6,0,3,12,2,12,3500,460,716
"79",779,"https://sportfunder.com/sequoyahmiddleschoolboysbasketball/29917",0,"teams",0,"fail",204,17.238,7,0,2,9,0,18,2000,550,716
"80",232,"https://sportfunder.com/upstreetdanceclub/25353",12,"teams",360,"fail",147,15.4,10,0,3,16,2,15,20000,159,716
"81",183,"https://sportfunder.com/cheekathletics/29154",2,"teams",50,"fail",119,8.059,4,0,3,7,1,7,4000,128,716
"82",939,"https://sportfunder.com/conestogagirlsbasketball/31258",84,"teams",2790,"fail",150,18.513,9,2,3,19,3,15,3000,668,716
"83",839,"https://sportfunder.com/nivethajessica/29600",0,"teams",0,"fail",96,11.886,3,0,1,10,2,6,2000,596,716
"84",64,"https://sportfunder.com/vikasshukla/28337",0,"teams",0,"fail",73,3.64,2,0,2,2,0,4,566.7,42,716
"85",269,"https://sportfunder.com/zea-dinejanuarie/29620",0,"teams",0,"fail",108,11.845,2,0,2,4,0,10,3000,185,716
"86",872,"https://sportfunder.com/albertaworldcupacademy/6026",16,"teams",1000,"fail",184,24.18,10,0,0,20,0,19,3000,622,716
"87",642,"https://sportfunder.com/hopeisalivesoccerfoundationteam/29286",0,"teams",0,"fail",334,41.055,15,3,14,36,7,14,10000,453,716
"88",1030,"https://sportfunder.com/ulyanabatashova/29533",0,"teams",0,"fail",102,14.736,3,0,1,7,1,3,280,735,716
"89",716,"https://sportfunder.com/micheleschiebel/31377",22,"teams",480,"fail",44,1.24,1,0,0,2,0,3,600,508,716
"90",978,"https://sportfunder.com/a-coroyals/27919",2,"teams",10,"fail",184,11.135,7,0,1,12,1,17,3750,696,716
"91",789,"https://sportfunder.com/acscrossoverdeva/27715",10,"teams",1.987,"fail",402,17.213,7,1,9,13,4,20,1192200,558,716
"92",850,"https://sportfunder.com/maxmiller/31860",53,"teams",2530,"fail",67,5.329,3,0,0,4,0,4,3000,603,716
"93",778,"https://sportfunder.com/jcc/21292",0,"teams",0,"fail",277,18.598,9,0,6,23,3,24,3000,549,716
"94",219,"https://sportfunder.com/cwp/23784",0,"teams",0,"fail",110,7.934,3,0,2,10,2,7,5000,152,716
"95",1080,"https://sportfunder.com/shadyenahas/114",5,"teams",186.1,"fail",31,5.313,2,0,1,3,1,4,1000,765,716
"96",757,"https://sportfunder.com/cheerleaders/29351",0,"teams",0,"fail",59,10.032,4,0,1,6,3,3,250,535,716
"97",1104,"https://sportfunder.com/teamcanadauniversityworldchampswomensfourw/9734",2,"teams",6675,"fail",109,12.565,3,0,5,6,0,7,8250,777,716
"98",897,"https://sportfunder.com/lionsyouthsports/27758",0,"teams",0,"fail",106,10.229,9,0,0,14,4,11,3000,640,716
"99",158,"https://sportfunder.com/christownsend/3661",32,"teams",776,"fail",185,11.757,6,3,5,16,4,11,1500,109,716
"100",676,"https://sportfunder.com/youngindiasportsacademy/29881",0,"teams",0,"fail",156,11.699,5,0,3,10,1,11,25000,477,716
"101",176,"https://sportfunder.com/vincerezeng/27548",2,"teams",20,"fail",77,7.198,1,0,0,3,1,1,5000,123,716
"102",319,"https://sportfunder.com/rogueracingclub/28047",0,"teams",0,"fail",104,11.427,7,0,1,10,4,9,5000,223,716
"103",148,"https://sportfunder.com/joehall/28141",2,"teams",0,"fail",75,9.106,7,2,2,9,1,11,1350,103,716
"104",871,"https://sportfunder.com/fastandfemale/4418",116,"teams",5700,"fail",82,11.759,2,0,0,9,0,8,10000,621,716
"105",654,"https://sportfunder.com/ebc/31003",0,"teams",0,"fail",40,1.637,2,3,3,2,3,1,20000,462,716
"106",587,"https://sportfunder.com/ipelengmachwisa/28673",0,"teams",0,"fail",127,10.596,4,0,3,9,1,12,50000,408,716
"107",755,"https://sportfunder.com/immanuelchristianschoolgirlsbasketball/40240",28,"teams",3631,"fail",127,8.959,3,0,1,6,1,13,55000,533,716
"108",982,"https://sportfunder.com/meikevoigt/31085",7,"teams",430,"fail",89,6.45,2,1,1,7,2,6,1500,700,716
"109",13,"https://sportfunder.com/acadiauniversitycheerleading/2393",42,"teams",425,"fail",104,6.809,1,1,2,5,1,8,3000,9,716
"110",95,"https://sportfunder.com/matthewmackillop/2497",14,"teams",550,"fail",103,6.791,2,2,4,5,5,6,2000,63,716
"111",290,"https://sportfunder.com/takkhunnwang/21759",2,"teams",0,"fail",217,16.562,4,0,4,10,2,11,4967.5,201,716
"112",776,"https://sportfunder.com/teammetalize/25017",28,"teams",860,"fail",131,9.449,4,0,1,5,1,4,8200,547,716
"113",582,"https://sportfunder.com/evdokymovracing/31207",0,"teams",0,"fail",49,4.415,3,0,0,4,0,3,1500,406,716
"114",165,"https://sportfunder.com/georgiablaikie/40267",2,"teams",680.04,"fail",223,28.904,4,0,1,9,0,13,5667,115,716
"115",394,"https://sportfunder.com/localnashvillesoccerteam/31460",0,"teams",0,"fail",175,21.452,7,0,3,14,1,19,500,279,716
"116",707,"https://sportfunder.com/alexcolpitts/9122",0,"teams",0,"fail",283,22.407,9,5,16,15,12,19,750,501,716
"117",1034,"https://sportfunder.com/anatoly/25148",0,"teams",0,"fail",153,12.776,3,1,5,5,0,7,4300,737,716
"118",1086,"https://sportfunder.com/synchronlcanadagamesteam/9370",40,"teams",1496,"fail",84,2.72,3,0,1,6,0,7,4000,768,716
"119",736,"https://sportfunder.com/joebrown/24740",8,"teams",95,"fail",84,4.951,1,1,2,2,0,6,7500,519,716
"120",19,"https://sportfunder.com/paradiseracing/4434",0,"teams",0,"fail",205,17.007,7,1,2,11,2,16,8000,15,716
"121",896,"https://sportfunder.com/craignadeau/31109",0,"teams",0,"fail",88,2.861,2,2,3,2,0,6,1500,639,716
"122",65,"https://sportfunder.com/stevenpritchard/31217",1,"teams",0,"fail",60,5.53,4,0,0,8,0,3,5667,43,716
"123",564,"https://sportfunder.com/spartanparentboosterclub/26741",42,"teams",50,"fail",63,3.986,3,0,1,7,0,7,2500,395,716
"124",396,"https://sportfunder.com/paraeqrider/28107",1,"teams",0,"fail",504,65.332,15,7,17,33,7,17,22000,280,716
"125",965,"https://sportfunder.com/ashahpayson/8810",16,"teams",777,"fail",147,9.001,5,2,4,10,0,13,1250,686,716
"126",743,"https://sportfunder.com/michaelknupfer/29540",8,"teams",189.75,"fail",128,17.13,4,2,2,13,3,9,5000,524,716
"127",644,"https://sportfunder.com/bronner/29094",0,"teams",0,"fail",47,6.35,2,0,4,4,1,2,1200,455,716
"128",980,"https://sportfunder.com/nualaedmundson/30958",39,"teams",2564,"fail",100,8.763,1,0,0,3,0,3,2800,698,716
"129",715,"https://sportfunder.com/michaelarmstrong/28354",0,"teams",0,"fail",106,8.373,3,1,1,9,1,4,1133.4,507,716
"130",867,"https://sportfunder.com/hanscoetzee/29289",0,"teams",0,"fail",89,9.525,1,0,1,4,0,6,2000,619,716
"131",560,"https://sportfunder.com/kcscblitzsoftball/27629",20,"teams",1840,"fail",127,11.763,2,0,8,4,0,12,43296,392,716
"132",916,"https://sportfunder.com/saramihalik/27213",0,"teams",0,"fail",306,30.625,13,2,3,21,2,18,4000,652,716
"133",335,"https://sportfunder.com/irinasokolova/28278",0,"teams",0,"fail",216,14.179,4,1,1,17,0,24,1400,237,716
"134",520,"https://sportfunder.com/malacky/31098",0,"teams",0,"fail",123,10.596,4,0,3,9,1,12,2980.5,363,716
"135",588,"https://sportfunder.com/gemcitythrowbacks11u/26609",0,"teams",0,"fail",142,13.964,10,0,5,14,1,11,6000,409,716
"136",388,"https://sportfunder.com/pureperformance/24116",42,"teams",850,"fail",95,14.754,6,1,1,12,0,10,1500,275,716
"137",706,"https://sportfunder.com/alexcolpitts/3713",4,"teams",221,"fail",149,11.908,5,0,0,7,0,8,1300,500,716
"138",923,"https://sportfunder.com/josh/31355",9,"teams",259,"fail",254,21.533,5,1,2,18,2,15,300,657,716
"139",443,"https://sportfunder.com/uqamcheerleading/24614",66,"teams",11486,"fail",121,8.413,2,0,1,4,1,12,12000,305,716
"140",985,"https://sportfunder.com/howickpremiermenssoftballteam/27495",0,"teams",0,"fail",173,20.263,5,0,4,18,1,17,3000,703,716
"141",391,"https://sportfunder.com/saharidumainisinamo/29606",9,"teams",519.5,"fail",106,16.269,9,1,1,16,4,9,1000,276,716
"142",14,"https://sportfunder.com/acadiauniversitycheerleading/8246",34,"teams",387,"fail",81,7.918,2,1,1,3,0,8,7500,10,716
"143",882,"https://sportfunder.com/camagueybaseballclub/27915",2,"teams",150,"fail",134,7.95,3,0,4,6,1,9,2400,628,716
"144",340,"https://sportfunder.com/beachteammkcom/30658",9,"teams",496.75,"fail",195,21.969,20,0,3,21,1,20,4967.5,241,716
"145",997,"https://sportfunder.com/oliviahennon/30864",9,"teams",535,"fail",103,19.336,8,0,0,15,4,7,6500,714,716
"146",1081,"https://sportfunder.com/augustandmegansibthorpe/8194",44,"teams",945,"fail",89,6.074,1,0,0,6,0,3,5000,766,716
"147",621,"https://sportfunder.com/jagjitsengupta/28266",0,"teams",0,"fail",129,8.689,10,0,6,14,0,15,2980.5,435,716
"148",75,"https://sportfunder.com/lehighvalleyhunters/29919",0,"teams",0,"fail",59,6.072,3,1,1,4,1,3,15000,50,716
"149",967,"https://sportfunder.com/martinpasternak/30911",3,"teams",100,"fail",78,4.194,2,0,0,5,0,4,7500,688,716
"150",282,"https://sportfunder.com/hunterpowershowcase/28192",1,"teams",10,"fail",245,30.862,9,3,9,23,5,20,2000,193,716
"151",346,"https://sportfunder.com/kumakechjames/26738",16,"teams",157,"fail",128,10.596,5,0,3,10,1,13,20000,245,716
"152",684,"https://sportfunder.com/aemstylidas/28008",4,"teams",0,"fail",112,8.979,5,0,3,6,1,7,2980.5,483,716
"153",578,"https://sportfunder.com/royalfootballclublagos/31322",0,"teams",0,"fail",53,8.947,3,0,3,7,2,2,28000,404,716
"154",807,"https://sportfunder.com/silkrider/31163",21,"teams",536.49,"fail",112,11.43,2,0,2,6,2,4,2483.75,572,716
"155",709,"https://sportfunder.com/alexcolpitts/24115",1,"teams",10,"fail",220,19.987,8,4,9,16,7,12,3000,503,716
"156",833,"https://sportfunder.com/jackcotton/28198",4,"teams",90,"fail",155,17.922,11,0,0,22,0,14,10000,590,716
"157",27,"https://sportfunder.com/anthonypietersz/29528",5,"teams",540,"fail",137,20.493,5,0,2,14,4,7,4500,20,716
